id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4224870961576622,Gar0s6C9o,1987820335,落月啼霜冷,感觉今年市场的情绪基本如下：1月-哇，美股还在涨，赶紧上个末班车2月-哇，果然崩了崩了，十年牛市要结束，赶紧走3月-哇，怎么好像牛市还没完，赶紧抄个底4月-哇，贸易战来了，要崩，哇，Facebook泄密门，科技股又要崩，哇，特斯拉要破产了，科技股末日了....不知道接下来还能哇几下,,,,,0,0,2,2018-04-03 23:59,iPhone客户端,,,,,普通用户,非会员,0
4224870835934707,Gar0foTT5,1789530055,牛气冲天啊2024,周二沪指受美股大跌影响，大幅低开后，避险黄金拉升，贸易战受益的农产品同步拉升，沪指低位震荡，10点后，环保医药走强，沪指震荡向上，创业板掉头向下，国产软件等下挫明显，午前，白马超级品牌拉升，午后，页岩气受减税刺激，大幅拉升，沪指低位震荡，2点后，沪指企稳回升，收于3136，成交量1897亿。弱势整理震荡，观望为主。盘面上，海南，可燃冰农业板块涨幅居前，稀土手游跌幅居前，技术面上，3150下方弱势整理。预测：周三节前最后一个交易日，大概率缩量小幅震荡，低点区域3120附近，高点3150附近，操作建议：低吸为主，观望为上。,,,,,0,0,0,2018-04-03 23:59,微博 weibo.com,,,,,普通用户,非会员,0
4224870784707038,Gar0ajKvY,5103282510,锋星0,『中美贸易战，一场文明与野蛮的碰撞』O中美贸易战，一场文明与野蛮的碰撞,,,,,0,0,1,2018-04-03 23:59,小米手机5,,,,,普通用户,会员,7
4227407352913798,GbuZpce0K,1208116500,长青五队,有些Ｖ说，A股和美股有关系吗？老是盯着美股。答：很多时候，A股和美股没有关系，美股只是作为一个风险观察指标，但美股是全球最大市值的股票市场，一旦崩盘，全球其他市场将无一幸免，所以美股波动剧烈时，必须得关注。近期的中美贸易战引发了股市剧烈波动，所以，更需要关注，既然是中美贸易战，那么中美股市当然有关系，A股和美股的波动，是贸易战的体温计。——送给那些没有常识、不懂装懂的V，以及被误导的散,,乌鲁木齐·六道湾街区,,,0,0,0,2018-04-10 23:58,iPhone客户端,,,,,普通用户,非会员,0
4227407344980011,GbuZokTwL,2153057957,且行且思133,2018年4月11日预判：    今天要说的比较多，伴随中国在贸易战中的退让，股市变得暂时安全起来，贸易战暂时可以不用理会。刚好西部黄金也休息一下！    先来看下上证指数。如果从2018年1月29日3587点算起，到昨天为止，完成了所有下跌结构，也就是说具备了一波行情的启动基础。但如果从2018年2月9日3062点算起，这两个月其实都在走反弹行情，是一个盘整走势，昨天开始的反弹，开始走最后一段。这样看的话，这里就会有一个矛盾，到底是从哪里算起呢？好在不管怎么样，这里都会出现七天左右的反弹，等这个反弹结束，我们再出来看看就是。而且非常确定的一点，接下来的反弹级别是15分钟的。    说完大盘我们再来看下个股，昨天买入合肥城建纯属博一个短线的反弹，毕竟它前期是一个独角兽概念的龙头，即使是下跌，中间也会躁动一下，而且振幅会比较大，做短线会比较过瘾！蚂蚁金融一天没有上市，后市它的新闻会不断出现，这也是买入的安全垫，有了安全垫，持有也就安心。先把它按照5分钟级别来操作，明后天是关键。,,,,,0,0,0,2018-04-10 23:58,HUAWEI Mate 10,https://wx2.sinaimg.cn/large/80550ea5gy1fq804qd29gj21401z4e28.jpg,,,,普通用户,非会员,0
4225595753837132,GaJRtg6de,1357894255,梁启学,俗话说“鹬蚌相争，渔翁得利”，眼瞅着中美贸易战持续升级，有人搬好板凳等着坐收“渔翁之利”……日本久留米大学商学部教授塚崎公义称，中国国...O网页链接,,,,,0,0,1,2018-04-05 23:59,HUAWEI Mate 9,https://wx1.sinaimg.cn/large/50efd26fly1fq282wbhphj205c040q4a.jpg,,,,普通用户,非会员,0
4225595556089673,GaJR9pycx,1895063291,BBEN天使,转//#天天快报#《贸易战疑云中，特朗普支持率再创新高班农：让华尔街见鬼去吧！》O贸易战疑云中，特朗普支持率再创新高班农：让华尔街见鬼去吧！,,,,天天快报,0,0,0,2018-04-05 23:59,天天快报,https://wx3.sinaimg.cn/large/70f45efbgy1fq2821oqkoj20go0bqabb.jpg,,,,普通用户,非会员,0
4225595526722145,GaJR6scJH,3349808834,黄金分析师弈秋,#现货黄金-伦敦金#总结：黄金整体行情较为弱势，昨日美盘价格下跌之后，目前延续性走低，中间价格偶尔反抽也是瞬间回落，贸易战影响刺激之后，就是价格连续走低，美元价格的强势上涨，小非农ADP数据表现较好，明日非农数据应该也不会表现较差，则利多美元，利空黄金的概率较大，而今晚黄金行情重点还是关注价格能否站上1330一线，如果黄金能站上1330一线，则行情短期走强，后市看价格试探1337一线昨日美盘反抽的高点，而站不上1330一线，则前期的低点位置1321一线破位概率较大。黄金今晚的行情下方低点位置1322-1323区域应该也不会破位，美元日内走势较为强势，但是黄金后期下跌幅度不大，并且也未能打破1323前期低点，后期凌晨走势在破位的概率相对不大，同时白银方面表现较强，虽然黄金较为弱势，但是稍微带动黄金反抽的还是有可能，凌晨上方依然是看1330一线压力即可，低位就不建议去追空了。今晚就到这里了。各位明天见！,,,,现货黄金-伦敦金,0,0,0,2018-04-05 23:59,360安全浏览器,,,,,黄V,非会员,0
4225595354714250,GaJQPjMoi,1640337222,环球市场播报,【午盘：美股继续上扬道指上涨320点】对中美贸易战的担忧有所缓解。道指一度上涨超过350点。道指涨1.34%，报24，589.71点；标普500指数涨0.95%，报2，669.87点；纳指涨0.81%，报7，099.24点。O午盘：美股继续上扬道指上涨320点下载APP搞定全球市场O网页链接,,,,,3,18,11,2018-04-05 23:58,微博发布平台专业版,https://wx1.sinaimg.cn/large/61c58f46ly1fq2819p9mxj20fa0bgq47.jpg,,,,蓝V,超级会员,1
4225595325346713,GaJQMmqVj,5830674898,轻松心言,【波音坐不住了，就贸易战发声明_手机凤凰网】，分享给你，一起看吧！波音坐不住了，就贸易战发声明_手机凤凰网O网页链接,,,,,0,0,0,2018-04-05 23:58,UC浏览器Android,https://wx3.sinaimg.cn/large/006mAUTwly1fq28128fm9j31kt0qogqf.jpg,,,,普通用户,非会员,0
