id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4449710670337985,IkRcv1pVn,6036844712,大风大浪任我游,【商务部：#贸易战应由取消加征关税而止#】贸易战的止伐，取消加税，在股市上利好制造业和电子科技类股票。随着美国的猪肉，农产品的输入，国内的生活消费将降低！利好周一股市，倘若没有横生枝节，牛市将至。重点配置外贸性公司！,,,,贸易战应由取消加征关税而止,0,0,2,2019-12-15 10:32,Android,,,,,普通用户,非会员,0
4448749885461188,IkscQmUHG,2197303645,hihishanger,#贸易战应由取消加征关税而止#我赌一块钱，美国12月15日将如期加征关税。,,,,贸易战应由取消加征关税而止,0,1,0,2019-12-12 18:54,华为 P8max,,,,,普通用户,非会员,0
4448242982824267,Ikf1gbQIH,1401505675,鸡蛋培根芝麻汉堡,#人工智能##贸易战应由取消加征关税而止##中美正就取消加征关税幅度深入讨论#中国对人工智能有着非常公开、非常深入、资金极其充足的承诺。根据奥巴马白宫2016年的报告，中国发表的关于深度学习的期刊文章比美国多，人工智能专利数量增加了200%。中国决心到2030年成为人工智能领域的世界领先者。发布了头条文章：《专家：美国正在输掉与中国的人工智能竞争》O专家：美国正在输掉与中国的人工智能竞争,,,,"人工智能,贸易战应由取消加征关税而止,中美正就取消加征关税幅度深入讨论",2,2,8,2019-12-11 09:20,微博 weibo.com,,,,,普通用户,非会员,0
4448071100006083,Ikay201A7,2109185642,厦门网,#贸易战应由取消加征关税而止#【对华加征关税令美国民众额外支付420亿美元】由支持自由贸易美国人联盟和支持自由贸易农场主联盟发起的“关税伤害美国腹地”游说行动9日发布的报告显示，自2018年2月至2019年10月，美国政府对中国输美产品加征的关税让美国消费者和企业额外支付了420亿美元。（新华网）O对华加征关税令美国民众额外支付420亿美元,,,,贸易战应由取消加征关税而止,0,0,0,2019-12-10 21:57,微博 weibo.com,,,,,普通用户,非会员,0
4445477644544218,Ij552j49Q,1620228067,西山隐智,#香港##美国##欧盟###贸易战应由取消加征关税而止#美国打算对这三个国家动手了，也和中国关系不错阿根廷，巴西，法国,,,,"香港,美国,欧盟",0,0,2,2019-12-03 18:12,iPhone客户端,"https://wx1.sinaimg.cn/large/6092b7e3gy1g9jp5x130zj20j30xzgpm.jpg,https://wx2.sinaimg.cn/large/6092b7e3gy1g9jp5xv9nhj20ku0yrtdr.jpg,https://wx2.sinaimg.cn/large/6092b7e3gy1g9jp5wi6qrj20ku0znte8.jpg,https://wx4.sinaimg.cn/large/6092b7e3gy1g9jp5ynwstj20ku0zewjh.jpg,https://wx3.sinaimg.cn/large/6092b7e3gy1g9jp5zj5pxj20ku0zr790.jpg,https://wx2.sinaimg.cn/large/6092b7e3gy1g9jp60by2rj20ku0yqq7v.jpg",,,,普通用户,非会员,0
4444698326092205,IiKO4pyRn,1684651185,刘飞洲,中米毛衣协议要签，只有两种可能，一种是米帝感觉占了大便宜，是个对米彻底有利的协议；一种是确实感觉痛了，一年多的毛衣战米帝磕到牙了，打不动了，打不起了。#中美贸易战新主张##反击贸易战##贸易战应由取消加征关税而止#,,,,"中美贸易战新主张,反击贸易战,贸易战应由取消加征关税而止",0,5,5,2019-12-01 14:35,OPPO A9,,,,,黄V,非会员,0
4438581617800590,IgbGpwJhY,5964184998,安徽反邪教,【商务部：#贸易战应由取消加征关税而止#】今天，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，双方正在就此进行深入讨论。（央视新闻）,,,,贸易战应由取消加征关税而止,37,36,42,2019-11-14 17:29,搜狗高速浏览器,https://wx4.sinaimg.cn/large/006vD6Yely1g8xp6lgw9lj30c806vjs0.jpg,,,,,非会员,0
4443676518353846,IikdZz3ds,6545594314,龙子湖正道,@安徽反邪教【商务部：#贸易战应由取消加征关税而止#】,,,安徽反邪教,贸易战应由取消加征关税而止,0,0,42,2019-11-28 18:55,HUAWEI P20 Pro,,,4438581617800590,,蓝V,非会员,0
4441443886090370,Iho8YpynM,6579936616,庐阳正道,【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,42,2019-11-22 15:03,360安全浏览器,,,4438581617800590,,蓝V,非会员,0
4440715143048146,Ih5bAcMXE,6275007444,合肥反邪教,【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,42,2019-11-20 14:47,360安全浏览器,,,4438581617800590,,蓝V,非会员,0
4440468739728022,IgYM9EOHA,6092126326,适度撒娇过分傲娇,2020考研超话英语阅读“时政”素材#反击贸易战##贸易战应由取消加征关税而止#,,,,"反击贸易战,贸易战应由取消加征关税而止",0,0,7,2019-11-19 22:28,2020考研超话,https://wx4.sinaimg.cn/large/006EhWm2gy1g93pv2lhnhj316o11o4cq.jpg,,,,普通用户,非会员,0
4439542939122444,IgAGVChac,6485801674,岳西反邪教,:【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,42,2019-11-17 09:09,微博 weibo.com,,,4438581617800590,,蓝V,非会员,0
4439333656050440,IgvfnpnZK,1684651185,刘飞洲,高层决策一个最重要的能力是实事求是。#港股##财经##贸易战应由取消加征关税而止#,,,,"港股,财经,贸易战应由取消加征关税而止",0,0,3,2019-11-16 19:18,OPPO A9,https://wx2.sinaimg.cn/large/6469bcb1ly1g903hicxbej20u01hcgrt.jpg,,,,黄V,非会员,0
4439287019467783,Igu29DJ0b,1684651185,刘飞洲,形势逐渐明朗，红口事件的背后是金融战。#香港特区政府成立跨部门小组##贸易战应由取消加征关税而止##何君尧遇袭受伤#,,,,"香港特区政府成立跨部门小组,贸易战应由取消加征关税而止,何君尧遇袭受伤",0,1,16,2019-11-16 16:12,OPPO A9,https://wx1.sinaimg.cn/large/6469bcb1ly1g8zy4nc0s0j20u01hc79z.jpg,,,,黄V,非会员,0
4439282804618253,IgtVmjnpX,1684651185,刘飞洲,某贝动不动就跑路的这家上市公司，凭直觉判断，管理层应存在严重问题。#陈伟霆屁股抽筋##马云再度为非洲巡护员颁奖##贸易战应由取消加征关税而止#,,,,"陈伟霆屁股抽筋,马云再度为非洲巡护员颁奖,贸易战应由取消加征关税而止",0,0,0,2019-11-16 15:56,OPPO A9,,,,,黄V,非会员,0
4438989303538357,IgmhYeQuh,6343687668,古有老家,#贸易战应由取消加征关税而止#高峰在发布会上表示，中方多次强调，贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，符合生产者和消费者的利益，符合中美两国利益，也符合世界利益，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，而其重要性应该由双方共同估量。双方正在就此进行深入讨论。,,,,贸易战应由取消加征关税而止,2,2,4,2019-11-15 20:29,阴阳趋势法Android,https://wx1.sinaimg.cn/large/006VjsX2gy1g8yzznma8rj30je0cyjs1.jpg,,,,黄V,会员,7
4438954897797501,IglotwIu9,2518232325,念你深晴,知名综艺大咖超话僵持、拉锯对双方都没什么好处，合作与发展才是主题。期待取消吧，这样股市也能好点！PS：今天#易见股份sh600093[股票]#企稳走强，离卡位接棒#当代东方sz000673[股票]#还差一个涨停。微博股票超话#今日看盘##牛股##贸易战应由取消加征关税而止#,,,,"今日看盘,牛股,贸易战应由取消加征关税而止",0,0,1,2019-11-15 18:13,知名综艺大咖超话,,,,,普通用户,非会员,0
4438945397644496,Igl99w4Gk,3277083375,美女罗雯雯,时尚自媒体超话僵持、拉锯对双方都没什么好处，合作与发展才是主题。期待取消吧，这样股市也能好点！PS：今天#易见股份sh600093[股票]#企稳走强，离卡位接棒#当代东方sz000673[股票]#还差一个涨停。微博股票超话#今日看盘##牛股##贸易战应由取消加征关税而止#,,,,"今日看盘,牛股,贸易战应由取消加征关税而止",0,0,0,2019-11-15 17:35,时尚自媒体超话,,,,,普通用户,非会员,0
4438938301607206,IgkXI6K6G,2450884054,河北钢格栅板,【商务部：#贸易战应由取消加征关税而止#】今天，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。妇女。消加征关税，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，双方正在...全文,,,,贸易战应由取消加征关税而止,0,0,0,2019-11-15 17:07,Android客户端,,,,,普通用户,非会员,0
4438936535814015,IgkURoour,2373696054,博纳财务,【商务部：#贸易战应由取消加征关税而止#】近日，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，双方正在就此进行深入讨论。,,,,贸易战应由取消加征关税而止,0,0,0,2019-11-15 17:00,微博 weibo.com,https://wx3.sinaimg.cn/large/8d7bba36ly1g8yh3owkylj20j60asaft.jpg,,,,蓝V,非会员,0
4438584914343752,IgbLJie0w,5872828878,内蒙古反邪教,【商务部：#贸易战应由取消加征关税而止#】今天，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，双方正在就此进行深入讨论。（央视记者刘颖）,,,,贸易战应由取消加征关税而止,11,10,11,2019-11-14 17:42,iPhone客户端,"https://wx3.sinaimg.cn/large/006prN4qly1g8xpjm1v9lj30kt0bptao.jpg,https://wx1.sinaimg.cn/large/006prN4qly1g8xpjpufr6j30u01sk4qp.jpg",,,,,非会员,0
4438922903538992,IgkySeQEw,6135644110,创建无邪乌前旗,【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,11,2019-11-15 16:05,微博 weibo.com,,,4438584914343752,,蓝V,非会员,0
4438920924209380,IgkvGhF3e,6065280215,大灰狼国际物流,【商务部：关税取消幅度应由双方共同估量并充分体现第一阶段协议重要性】商务部新闻发言人高峰14日在商务部例行新闻发布会上表示，中方多次强调，贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，符合生产者和消费者利益，符合中美两国利益，也符合世界利益，是双方而不是单方的利益所在。高峰表示，如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，而其重要性应该由双方共同估量。双方正在就此进行深入讨论。中方愿与美方共同努力，在平等和相互尊重的基础上，妥善解决彼此核心关切，为达成第一阶段协议创造条件。（新华社）#大灰狼国际物流##万物皆可转##贸易战应由取消加征关税而止##进出口##空运包税双清到门##中国##美国#,,,,"大灰狼国际物流,万物皆可转,贸易战应由取消加征关税而止,进出口,空运包税双清到门,中国,美国",0,0,0,2019-11-15 15:58,360安全浏览器,https://wx4.sinaimg.cn/large/006Ctisfgy1g8ys4l9virj30lw0cbjsr.jpg,,,,普通用户,非会员,0
4438905115883378,Igk6boGxc,6095001646,鄂尔多斯市反邪教协会,【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,11,2019-11-15 14:55,360安全浏览器,,,4438584914343752,,蓝V,非会员,0
4438589083227108,IgbSsdxw8,5094103156,上海反邪教,【商务部：#贸易战应由取消加征关税而止#】今天，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，双方正在就此进行深入讨论。,,,,贸易战应由取消加征关税而止,9,8,10,2019-11-14 17:59,iPhone 7,https://wx2.sinaimg.cn/large/005yKkW8ly1g8xq0ytymhj30kt0bptao.jpg,,,,,非会员,0
4438896928588202,IgjSYA2bo,2147490233,木头sizuka,【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,10,2019-11-15 14:22,微博 weibo.com,,,4438589083227108,,普通用户,非会员,0
4438866070656896,Igj5d2KT6,6221932120,直新闻,#中美贸易战新主张##贸易战应由取消加征关税而止#【商务部：正就取消加征关税幅度深入讨论】周四，商务部新闻发言人高峰表示，中美正就取消加征关税幅度进行深入讨论，中方愿与美方一道，为达成第一阶段协议创造条件。高峰表示，中方多次强调，贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。L直新闻的微博视频,,,,"中美贸易战新主张,贸易战应由取消加征关税而止",0,1,5,2019-11-15 12:20,微博视频号,,"http://f.video.weibocdn.com/004mGipilx07yBm2fNU401041201s59Z0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1763208236&ssig=KxdulptGRa&KID=unistore,video",,,普通用户,超级会员,2
4438820466912980,IghTEt0nG,5902609242,乌海反邪教,【商务部：#贸易战应由取消加征关税而止#】@内蒙古反邪教,,,内蒙古反邪教,贸易战应由取消加征关税而止,0,0,11,2019-11-15 09:18,UC浏览器电脑版,,,4438584914343752,,蓝V,非会员,0
4438813155495049,IghHRn3vP,6311774830,乌达反邪教,【商务部：#贸易战应由取消加征关税而止#】@内蒙古反邪教,,,内蒙古反邪教,贸易战应由取消加征关税而止,0,0,11,2019-11-15 08:49,微博 weibo.com,,,4438584914343752,,蓝V,非会员,0
4438812371443938,IghGB63Dk,3481381404,白云鄂博矿区反邪教,【商务部：#贸易战应由取消加征关税而止#】@内蒙古反邪教,,,内蒙古反邪教,贸易战应由取消加征关税而止,0,0,11,2019-11-15 08:46,微博 weibo.com,,,4438584914343752,,蓝V,非会员,0
4438808190020623,IghzR05mD,3134925031,黄山反邪教,【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,42,2019-11-15 08:30,360安全浏览器,,,4438581617800590,,蓝V,非会员,0
4438804649897005,Ighu8FwF7,5999094269,锡林郭勒反邪教,【商务部：#贸易战应由取消加征关税而止#】@内蒙古反邪教,,,内蒙古反邪教,贸易战应由取消加征关税而止,0,0,11,2019-11-15 08:16,微博 weibo.com,,,4438584914343752,,蓝V,非会员,0
4438801180712216,Ighoy2Zhm,6769545020,丰乐镇清韵,//@肥西县清韵:商务部：#贸易战应由取消加征关税而止#@安徽反邪教,,,"肥西县清韵,安徽反邪教",贸易战应由取消加征关税而止,0,0,42,2019-11-15 08:02,HUAWEI P20,,,4438581617800590,,蓝V,非会员,0
4438652857588843,IgdxjvQcH,3753146781,Dry的二五八万,#贸易战应由取消加征关税而止#中美贸易战阶段性结束应该快要成真了，美国众议院昨天举行了第一场关于弹劾特朗普的公开听证会，并且是电视面相全国直播，美国250年历史上只有三次弹劾总统的记录，尼克松的“水门事件”、克林顿的“莱温斯基染精的花裙子”和这次特朗普的“乌克兰事件”，美国国内舆论和国民的关注重心已经全部转回国内，这是“历史性的听证会”，特朗普被弹劾的具体问题，就是向乌克兰政府施压，要挟乌方调查美国前副总统拜登，否则不提供3.91亿美元军事援助。现任美国驻乌克兰首席外交官威廉·泰勒披露在听证会上披露了非常有说服力的证据，民主党和共和党一攻一守，成为了西方世界里一道迷人的风景线。原本寄希望于以贸易战结果作为大选筹码的特朗普在多方因素的制约下将不得不减少开战面，所以拭目以待吧，应该快了。至于hk，让它烂吧。,,,,贸易战应由取消加征关税而止,0,0,2,2019-11-14 22:12,魅族 16 旗舰手机,,,,,黄V,非会员,0
4438650022433745,IgdsKad7X,1960660265,inlong,#贸易战应由取消加征关税而止#导语：关注！O网页链接,,,,贸易战应由取消加征关税而止,0,1,0,2019-11-14 22:01,微博 weibo.com,,,,,黄V,非会员,0
4438613116530178,IgcvdroNs,3761691972,宁夏张聪,#贸易战应由取消加征关税而止#支持国家决定。,,固原,,贸易战应由取消加征关税而止,3,3,6,2019-11-14 19:34,HUAWEI Mate 10,,,,,,非会员,0
4438641184990480,IgdeukWfC,2955024054,开博为民,//@邻家妹妹李芳:#贸易战应由取消加征关税而止#支持国家决定。,,,邻家妹妹李芳,贸易战应由取消加征关税而止,0,0,6,2019-11-14 21:26,HUAWEI Mate 10,,,4438613116530178,,普通用户,非会员,0
4438640950057548,Igde70eYc,1717470977,追忆似水流年的时光,#贸易战应由取消加征关税而止#加征关税而起加征关税而止在贸易战在中美经贸双方没有达成一致大抵在第一阶段应该进行交涉沟通的首要第二阶段就两国之间的磋商进一步加强第三对外贸易的发展持续增长第四关税是否对两国的经济有所下降第五美国加征进出口货物是否符合市场规定第六取消停止有利于两国的友好关系第六打击经贸就是对立避免陷入两难境地第七合二为一才是就往来的优越性第八没有税率调整就无法改变现有经济打响终止应该有所启迪中国势必和美国同等地位不会只争朝夕,,,,贸易战应由取消加征关税而止,0,0,0,2019-11-14 21:25,iPhone客户端,,,,,普通用户,非会员,0
4438635602354896,Igd5u9SCc,5475701105,友谊的小窝,#贸易战应由取消加征关税而止#合作是中美双方唯一正确选择！让这面上世纪七十年代珍贵的锦旗，祝愿中美贸易谈判早日成功，造福两国人民和世界人民！,,滨州·花园新城,,贸易战应由取消加征关税而止,0,0,5,2019-11-14 21:04,OPPO R9s,"https://wx1.sinaimg.cn/large/005YztZLly1g8xvcn8k5bj32o03k0b2b.jpg,https://wx1.sinaimg.cn/large/005YztZLly1g8xvcuvdhyj32o03k0b2b.jpg",,,,普通用户,非会员,0
4438631391343008,IgcYH5Dnq,3853531320,咱们微博吧,【商务部：贸易战由加征关税而起，也应由取消加征关税而止】商务部新闻发言人高峰14日表示，中方多次强调贸易战由加征关税起，也应该由取消加征关税止，这是双方达成协议的重要条件。这符合中美两国利益，也符合世界利益。如果双方达成协议，取消加征关税幅度应与中美第一阶段协议的重要性相匹配，这一重要性应由双方共同估量。（记者冯其予）#中美正就取消加征关税幅度深入讨论##贸易战应由取消加征关税而止#L经济日报的微博视频,,,,"中美正就取消加征关税幅度深入讨论,贸易战应由取消加征关税而止",0,0,0,2019-11-14 20:47,微博转评赞Android,,"http://f.video.weibocdn.com/004cSotblx07yA9s7lhu010412008q2F0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1763208556&ssig=AXL2yZlr2q&KID=unistore,video",,,普通用户,非会员,0
4438629508003851,IgcVExAan,6514077838,科工力量,【商务部：#贸易战应由取消加征关税而止#】今天，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，双方正在就此进行深入讨论。,,,,贸易战应由取消加征关税而止,5,8,39,2019-11-14 20:40,微博 weibo.com,https://wx3.sinaimg.cn/large/0076QpdAgy1g8xsvev8x1j30fk0aezlj.jpg,,,,红V,超级会员,2
4438624978665884,IgcOlAmok,1678215552,刘瑶,#贸易战应由取消加征关税而止#严重同意,,,,贸易战应由取消加征关税而止,0,0,3,2019-11-14 20:22,HUAWEI P20,,,,,红V,超级会员,1
4438624726646130,IgcNWrSXE,5621628064,淡然若荷,#贸易战应由取消加征关税而止#支持国家决定。,,,,贸易战应由取消加征关税而止,0,0,6,2019-11-14 20:21,vivo X20全面屏手机,,,4438613116530178,,普通用户,非会员,0
4438624152022620,IgcN18uaU,6505609560,烈山反邪教,【商务部：#贸易战应由取消加征关税而止#】,,,,贸易战应由取消加征关税而止,0,0,42,2019-11-14 20:18,HUAWEI P20 Pro,,,4438581617800590,,蓝V,非会员,0
4438622985885573,IgcL8oH6B,1095672385,小马甲传媒,#贸易战应由取消加征关税而止#【商务部：#中美正就取消加征关税幅度深入讨论#】商务部新闻发言人称，中方多次强调贸易战由加征关税起，也应该由取消加征关税止，这符合中美两国利益，也符合世界利益。取消加征关税幅度应充分体现中美第一阶段协议的重要性，这一重要性应由双方共同估量。O商务部：中美正就取消加征关税幅度进行深入讨论,,,,"贸易战应由取消加征关税而止,中美正就取消加征关税幅度深入讨论",0,0,1,2019-11-14 20:14,iPhone XS Max,,,,,蓝V,非会员,0
4438622540931541,IgcKq3UkR,6311272256,池州反邪教,商务部：#贸易战应由取消加征关税而止#,,,,贸易战应由取消加征关税而止,0,0,42,2019-11-14 20:12,微博 weibo.com,,,4438581617800590,,蓝V,非会员,0
4438621828366470,IgcJgz6v4,1723287141,同城相亲官方微博,#贸易战应由取消加征关税而止#【商务部：#中美正就取消加征关税幅度深入讨论#】商务部新闻发言人称，中方多次强调贸易战由加征关税起，也应该由取消加征关税止，这符合中美两国利益，也符合世界利益。取消加征关税幅度应充分体现中美第一阶段协议的重要性，这一重要性应由双方共同估量。O商务部：中美正就取消加征关税幅度进行深入讨论,,,,"贸易战应由取消加征关税而止,中美正就取消加征关税幅度深入讨论",0,1,0,2019-11-14 20:09,iPhone XS Max,,,,,蓝V,会员,7
4438605776773677,Igcjnsq8R,5921199319,四川网警,【商务部：#贸易战应由取消加征关税而止#】今天，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止，这是双方达成协议的重要条件。取消加征关税，是双方而不是单方的利益所在。如果双方达成第一阶段协议，关税取消的幅度应充分体现第一阶段协议的重要性，双方正在就此进行深入讨论。（央视记者刘颖）,,,,贸易战应由取消加征关税而止,2,3,2,2019-11-14 19:05,川川的Android,https://wx4.sinaimg.cn/large/006sIKqPly1g8xrxynw85j30fk0aezlj.jpg,,,,,非会员,0
4438619735239182,IgcFTlYWW,1010712057,绵阳网警,【商务部：#贸易战应由取消加征关税而止#】今天，商务部新闻发言人高峰表示，中方多次强调贸易战由加征关税而起，也应由取消加征关税而止。,,,,贸易战应由取消加征关税而止,1,0,2,2019-11-14 20:01,Android,,,4438605776773677,,蓝V,非会员,0
