id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4563115725036970,JqtVyl8ls,5118379092,红盟丶独木,#中国人民志愿军抗美援朝70周年#下午跟着组织去军事革命博物馆！！！#中美贸易战再次升级#,,,,"中国人民志愿军抗美援朝70周年,中美贸易战再次升级",0,0,0,2020-10-23 09:03,HUAWEI P30,,,,,普通用户,非会员,0
4561310002447258,JpIX6agDU,5449587444,今特估,没完没了#中美贸易战再次升级#真不明白，这对美国有啥好处？,,北京·仰源大厦,,中美贸易战再次升级,0,0,0,2020-10-18 09:28,华为手机,https://wx3.sinaimg.cn/large/005WNUDGly1gjt8angalrj30u01hcnbx.jpg,,,,普通用户,非会员,0
4557186142047277,JnZFI8AAB,1642634100,新浪科技,#苹果新品发布会时间#【#iPhone12将于10月14日发布#】据之前爆料，10月的这次新品发布会将推出四款iPhone，将分别被命名为iPhone12mini、iPhone12、iPhone12Pro和iPhone12ProMax。这四款机型全部采用OLED刘海屏，屏幕尺寸依次是5.4英寸、6.1英寸、6.1英寸以及6.7英寸。其中，iPhone12/mini存储容量64GB起步，iPhone12Pro/Max均是128GB存储容量起步。你期待哪款产品？OiPhone12终于来了！苹果官宣10月14日将举办第二场秋季发布会,,,,"苹果新品发布会时间,iPhone12将于10月14日发布",5218,40606,329553,2020-10-07 00:21,微博 weibo.com,"https://wx4.sinaimg.cn/large/001Nakaoly1gjg2n9sr64j60j60yutaj02.jpg,https://wx1.sinaimg.cn/large/001Nakaoly1gjg2oemgauj60go099dhl02.jpg,https://wx4.sinaimg.cn/large/001Nakaoly1gjg2oelh5tj60ex08ct8o02.jpg,https://wx4.sinaimg.cn/large/001Nakaoly1gjg2oekz3wj60hi09u74q02.jpg,https://wx1.sinaimg.cn/large/001Nakaoly1gjg2p47zvij60hi09uq3e02.jpg,https://wx3.sinaimg.cn/large/001Nakaoly1gjg2opkgfxj60go07qdgb02.jpg",,,,,非会员,0
4559847880395351,Jp6UQ1EQD,5821897834,佳猫喜欢种太阳,"中美贸易战关键时期，大家都清醒一点!苹果哪个型号都不期待，坚决支持国货!华为真的也很香的，现在华为确实难，大家伸出圆手吧@华为中国@华为手机@华为终端官方微博#苹果新品发布会##苹果##iphone12##国货##支持国货,华为加油##中美贸易战再次升级##中美贸易战新主张##反击贸易战#",,,"华为中国,华为手机,华为终端官方微博","苹果新品发布会,苹果,iphone12,国货,支持国货,华为加油,中美贸易战再次升级,中美贸易战新主张,反击贸易战",0,0,329553,2020-10-14 08:38,,,,4557186142047277,,普通用户,非会员,0
4549494149221013,JkLzgCGO1,6338373636,沙棘茶叶,发布了头条文章：《美国反华下一个大动作：取消中国最惠国待遇》灯塔国认为因为中国的最惠国待遇，美国的工作机会丢失了。他们要找回来，第一要做的，就是取消中国最惠国待遇。#中美贸易战再次升级#O美国反华下一个大动作：取消中国最惠国待遇,http://t.cn/A64YSXuS,,,中美贸易战再次升级,0,1,1,2020-09-15 18:56,微博 weibo.com,,,,,普通用户,非会员,0
4535272932901254,JeNBPcaKq,6385756528,走在前沿的土豹子,#中美贸易战再次升级#为什么不能禁用中国有替代产品的美国科技公司！！,,青岛,,中美贸易战再次升级,0,0,1,2020-08-07 13:06,小米9 透明尊享版,,,,,普通用户,非会员,0
4534640477741522,Jex9JwtVg,6338373636,沙棘茶叶,发布了头条文章：《灭火员杜特尔特》美国在南海围剿中国，灭火员杜特尔特表现突出！#杜特尔特请求中国##杜特尔特国情咨文再提南海##中美贸易战再次升级#O灭火员杜特尔特,http://t.cn/A6UIOY4F,,,"杜特尔特请求中国,杜特尔特国情咨文再提南海,中美贸易战再次升级",1,0,0,2020-08-05 19:13,微博 weibo.com,,,,,普通用户,非会员,0
4533907510270726,Jee5x18qy,6338373636,沙棘茶叶,发布了头条文章：《从禁止到收购，微软接手抖音是如何出笼的？》这段时间，凡是和中国有关的公司，产品都带有原罪！都要受到惩罚。最重要的，从疯王对抖音的干预也让世人明白了一个道理：这就是他们引以为豪的自由市场经济！#微软收购抖音##中美贸易战再次升级##字节跳动称被facebook抄袭和抹黑#O从禁止到收购，微软接手抖音是如何出笼的？,http://t.cn/A6UtU4A3,,,"微软收购抖音,中美贸易战再次升级,字节跳动称被facebook抄袭和抹黑",0,0,0,2020-08-03 18:40,微博 weibo.com,,,,,普通用户,非会员,0
4527427604980051,Jbvw4kTxp,3121600265,澳门商报官方,《美国要正式宣战！？新一轮制裁有多大杀伤力》#中美贸易战再次升级##美国制裁香港##港区国安法##香港国安法#香港是中国不可分割的一部分，根据国家宪法及基本法实行“一国两制”享有高度自治，美国无权亦不应干预香港内部事务O美国要正式宣战！？新一轮制裁有多大杀伤力,,,,"中美贸易战再次升级,美国制裁香港,港区国安法,香港国安法",5,3,20,2020-07-16 21:31,微博 weibo.com,,,,,蓝V,会员,7
4514014224605997,J5SzAjkeh,1585507682,李庆Lee,等到其它厂商跟台积电所有的订单都签约之后，国家再宣布采取对等措施封杀苹果等美国产品。台积电赚到钱，苹果等公司的产品积压。。。#中美贸易战新主张##反击贸易战##中美贸易战再次升级##商务部敦促美方停止针对华为错误做法#,,,,"中美贸易战新主张,反击贸易战,中美贸易战再次升级,商务部敦促美方停止针对华为错误做法",0,0,0,2020-06-09 21:11,荣耀手机 勇敢做自己,,,,,普通用户,非会员,0
4490611434080249,IC1dth7st,6592672918,教育探路者-李y东,#中美贸易战再次升级#中国真的要集中精力和美国打好这场上甘岭之战，趁着目前的国际形势有利于中国，如果让美国喘过气来，世纪以来的翻身机遇可能被错过了！！,,,,中美贸易战再次升级,0,1,0,2020-04-06 07:17,华为麦芒4,,,,,普通用户,非会员,0
4473607633879212,IuSRZgh9W,1887950161,小妤嘟嘟,2月18日消息，美国贸易代表办公室（USTR）在联邦纪事发布公告，宣布取消25个经济体的WTO发展中国家优惠待遇，其中包括中国和中国香港。跨境知道超话#大展国际物流有限公司##跨境电商##WTO##跨境电商资讯##中美贸易战新主张##中美贸易战再次升级#,,,,"大展国际物流有限公司,跨境电商,WTO,跨境电商资讯,中美贸易战新主张,中美贸易战再次升级",0,0,1,2020-02-19 09:10,微博 weibo.com,https://wx3.sinaimg.cn/large/7087d551gy1gc1fs2cctxj20ef0ceaaz.jpg,,,,普通用户,会员,7
