id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4587064342089034,JAwWm8Ls6,2864717612,中美聚焦,【美媒：美国对中国的出口管制，最终可能被永久关在中国市场之外】拜登当选不会结束美中贸易战。拜登已承诺要保留特朗普的关税作为谈判的筹码。但除了关税和贸易协议这一问题之外，还有对技术行业的竞争。在特朗普的领导下，美国外国投资委员会(CFIUS)大大加强了对中国收购美国公司的阻碍。在拜登的领导下，CFIUS可能会继续采取更强硬的态度。但特朗普针对中国科技行业的出口管制并不明智。出口管制禁止美国公司向中国公司出售技术。这些控制措施在短期内成功地对华为的业务造成了严重损害。鼓励了特朗普加倍落实这一策略，他最近将出口管制范围扩大到60多家中国企业。但要想搞垮中国的科技行业，似乎不太可能成功。与此同时，出口管制正在伤害美国公司。如果中国不能从美国购买技术，那么它就会从日本、欧洲或其他地方购买。或者如果美国也阻止了这一点，那么中国只能学习如何自己制造产品。长远的结果将是美国制造商的收入损失，他们现在将被永久地关在中国市场之外。因此，出口管制很容易最终伤害到美国而不是中国。来源：Bloomberg,,,,,52,43,141,2020-12-28 11:07,微博 weibo.com,https://wx2.sinaimg.cn/large/aac01f2cly1gm3e65natkj20h80cwwg9.jpg,,,,,非会员,0
4587353962972137,JAEtuctbH,6259291358,世话假说,也就说无论美国怎么操作都是错误的#中美贸易战新主张##中美关系#,,,,"中美贸易战新主张,中美关系",0,0,141,2020-12-29 06:17,HUAWEI P30,,,4587064342089034,,普通用户,非会员,0
4586763639069731,JAp7lC3rZ,1841285463,喜闻乐见保大叔,#财经##中美贸易战新主张#注意，不是我们太强大，而是因为彼此的需要，在每个领域的胶着，都是实力的写照。谦虚谨慎，戒骄戒躁，才是不断提升自己的内涵，越是沾沾自喜，盲目乐观，越是容易吃苦头。加油！#中国智造#@平安人寿@新浪保险频道@佳多保『内容百宝箱』O网页链接,,,"平安人寿,新浪保险频道,佳多保","财经,中美贸易战新主张,中国智造",0,2,0,2020-12-27 15:12,OPPO A92s,,,,,黄V,非会员,0
4584881184573052,JzC98jbEU,3949143517,纽约贾律师,#JLG伯盛仲合#发布了头条文章：《集合了资深前总统政治顾问、立法助理、媒体人及顶级地产公司总裁的炉边对话，精彩满分！》美国大选超话#美国大选结果#美国大选2020超话#美国大选##中美关税##中美关系##中美贸易战新主张##美国经济##美国政治#O集合了政治、商业和国际事务领域的多位思想领袖的炉边对话，精彩满分,,,,"JLG伯盛仲合,美国大选结果,美国大选,中美关税,中美关系,中美贸易战新主张,美国经济,美国政治",0,0,1,2020-12-22 10:31,微博 weibo.com,,,,,黄V,非会员,0
4583791513574211,Jz9NBeZOz,6342272794,田丰说,【中国芯片的短板与突围（2）】《经济观察报》发表田老师新作，完整版网址：O中国芯片的短板与突围AI芯片成为数据中心、超算中心的蓝海市场。数据中心正处于AI转型过程中，GPU市场呈现英伟达、AMD两强争霸，英伟达占比70%，全球TOP4云计算数据中心（亚马逊AWS、微软Azure、阿里云、谷歌云）都大量采用英伟达TeslaGPU。根据麦肯锡、AlliedMarketResearch、ABIResearch数据分析，在2023年数据中心AI芯片（训练+推理）产业规模将达到140亿美元，英伟达几乎垄断训练市场，并向推理端不断渗透，与ASIC、FPGA竞合。AI的基础是海量数据处理，而异构计算已经形成性能复杂性与成本开支挑战。2020年10月，英伟达发布DPU(DataProcessingUnit)芯片产品，将最多125块CPU芯片集成在一起（BlueFieldDPU），并计划在2021年将GPU添加进来（BlueField-2DPU），而基于DPU+DOCA变成堆栈的程序开发生态，则需要中长期培育，未来三年是留给国产AI芯片企业有限的时间竞赛窗口。中国芯片路在何方面对复杂的国际科技竞合局势，中国芯片有三个突围方法：开放结盟（换生态）：短期来看，学习Intel联合美国整个芯片产业组成“极紫外联盟（EUVLLC）”，中国应与非敏感国家形成新一代芯片研发产业链。比如，借助RCEP自由贸易框架，与日韩等亚太国家产业链融合发展，形成堪比欧盟、北美的亚洲多边研发阵营，投入共摊、利益共享。跳跃卡位（换战场）：中期来看，智能手机产业已经发展至成熟阶段，而5G时代的智能网联汽车、AR眼镜、智能家居物联网、智能传感器正在兴起，所以瞄准下一代AIoT终端的“算法+芯片”需求进行研发，将获得“弯道超车”的时代红利。例如，华为出售荣耀、开发全栈智能汽车技术，研发功耗容忍度更高的汽车芯片、智能家居芯片，将芯片竞赛拉至未来战场，是一招“腾笼换鸟”的妙棋，值得更多中国手机企业、新能源汽车企业、人工智能企业借鉴。研发变轨（换技术）：长期来看，近日台积电宣布2023年试产2nm芯片，并进行1nm工艺研发，硅基芯片离“天花板”越来越近。选择新材料研发未来芯片将率先开展“终局竞争”，90nm的碳基芯片能达到28nm的硅基芯片水平，能够绕开精密仪器的限制。2020年10月，中科院上海微系统所推出了国产9英寸石墨烯单晶晶元。另一方面，北大研发团队计划在2~3年内完成90nm碳基CMOS工艺研发，而真正跨越从理论到量产的鸿沟则面对新的挑战。例如，将碳纳米管的半导体纯度提升至6个9，解决芯片设计设备、生产流程管理等工程问题，这一重大升级换道过程可能需要十至数十年的时间。#人工智能##芯片##中美贸易战新主张#,,,,"人工智能,芯片,中美贸易战新主张",0,0,1,2020-12-19 10:22,iPhone客户端,"https://wx2.sinaimg.cn/large/006VdwSuly1glsya5rczkj30rs0ck40m.jpg,https://wx1.sinaimg.cn/large/006VdwSuly1glsya4wn32j30rs0j4abw.jpg,https://wx3.sinaimg.cn/large/006VdwSuly1glsya5uw0mj30rs0krtby.jpg",,,,黄V,非会员,0
4583782198021734,Jz9yzxEOO,6001829871,比特币炎少,2020年中美经贸摩擦会否缓和？2020年中美经贸摩擦趋势不是缓和，而是以另一种形式继续。（一）美国单方关税暂停，科技和投资打压强化美方单边关税不断升级在双方达成第一阶段协议后暂停。疫情蔓延和冲击经济又使执行拖长。但美方科技投资打压并未停止，相反加强。中美疫情先后爆发后，美国鼓吹重构价值链，和中国局部脱钩的言论又有抬头。（二）特朗普可能向病毒让步，但不会向中国让步近日白宫和商界密集讨论要不要取消对华加征关税。美国众多商贸团体强烈呼吁华盛顿取消对华加征的关税，以减轻消费者和下游生产商成本，这是政府应对疫情提供财政救助最好的方式。但莱特希泽、纳瓦罗及一些对华强硬派强烈反对，认为那将使中国进一步坐大。可见，美国对华单边关税的目的压制中国，为此可以置美国民众和企业利益于不顾。美国口罩及其他一些抗疫医护用品缺口很大，因此将从中国进口的关税排除。美国消费者品牌协会最近提交的16000种必需产品清单中，有9000种必须从中国采购材料。随着疫情进一步蔓延，经济衰退如若到来，美国将没有办法，被迫降低从中国部分进口产品的关税。这个概率相当大。但这丝毫不意味着美方放弃与中国打贸易战，或中美贸易战因此结束。它仅仅意味着美国只是为了自己的需要，而不是中国的需要；仅仅是不得不向新冠病毒让步，而不是向中国让步。它可以把需要关税减免的产品范围扩大再扩大，但只限于疫情期间。一旦疫情过去，立刻恢复。我们不可寄希望于病毒替我们打败美国单边主义。美国不会向中国让步的基本依据是：第一，必须为第二阶段谈判留下筹码。中美第一阶段协议达成后，美方处于主动地位，依然保留现行对我4200亿美元产品加征的关税，而中方则承诺两年内大幅增购美国2000亿美元产品和服务。美方则没有承诺，没有义务。因此美方把关税拿在手里，看中方从美方增购了多少产品和服务。然后需要为第二阶段谈判留下关税筹码。上周美国贸易代表署报告清楚表示，美方根据301调查报告对中国加征关税是有效的，还将继续保留这一手段。第二，中国产品并非完全不可替代。2019年美国从中国进口计算机及电子产品减少874.33亿美元，从其他来源进口增加了450.67亿美元；电气设备和电器从中国进口减少73.63亿美元，从其他来源进口增加了64.69亿美元；从中国进口机械减少58.0亿美元，从其他来源进口增加70.37亿美元；从中国进口服装减少29.16亿美元，从其他来源进口增加23.86亿美元。第三，在全球供应链上，美方推动的是乘机与中国“部分脱钩”，把供应链一些关键节点迁回美国，减少对中国的依赖，而不是加强与中国的合作。第四，在政治和战略上需要保持贸易战高压。如前所述，第一阶段协议达成后，美方腾出手来，集中在政治和高科技方面升级反华和对我封锁施压。充分暴露了特朗普政府对华政策的的本质。这个本质没有改变，反而在强化。目前看不到重大转机。即便出现若干示好，也是策略性或机会主义做法，只是出于其大选需要。第五，美国大选政治生态不允许。特朗普的第一目标是大选连任。与中国的第一阶段协议被他成为是“巨大的胜利”，如后退，既无必要，也有风险。因为民主党可以乘机攻击他对华贸易政策失败。民主党和共和党在反华、遏制中国上没有本质区别，在大选政治生态中唯一区别是相互指责对方对中国不够强硬。中美第一、第二阶段协议将如何？（一）中美第一阶段协议作用可能减弱中美第一阶段协议关于技术转让和知识产权的部分，被美国贸易代表署重新列入第二阶段谈判内容，认为第一阶段谈判没有解决问题。第一阶段协议没有涉及取消或降低关税。美方对我4200亿美元产品已征关税全部保留，因此没有满足中方要求。第一阶段协议关于扩大贸易部分，没有扩大中国对美出口，只有扩大美国对中国出口，且由中方承诺两年内增购2000亿美元美国产品和服务。但协议明确规定遇到自然灾害可以协商。墨迹未干，灾害就来了。因此协议所列指标调整、推迟几乎无法避免。（二）第二阶段协议谈判暂不宜列入议程中美两国首先是战胜疫情，稳定经济。具体贸易谈判宜留到美国大选后。因为首先，双方都要确保最紧迫的任务。其次，美国大选政治生态必然带来许多不确定因素。如果民主党候选人当选总统，非常可能废除现有协议。如果特朗普连任，便不再有连任压力，对华贸易政策也会发生很大变化。2020：希望尤其在草根2020年，面对形势突变，我们应对中美经贸关系，仍然是两手对两手，两手都要硬。尤其应突出加强美国广大商界、地方的合作。中国迅速取得战胜疫情的决定性胜利，迅速大面积复工复产，使中国经济从世界之犹一跃而为世界之光，美国则迅速哀鸿遍野。中国疫情爆发后，苹果关闭了在华门店。一个半月后，苹果在华门店全部恢复，中国以外门店却大面积关闭。中国依然，而且可能进一步成为美国跨国公司特别是高科技企业投资、研发、生产和销售的可靠基地。我们要进一步打开国门，积极欢迎美国企业合作，努力贯彻内资外资一视同仁的方针，进一步加强中国在全球供应链的关键节点地位。用实实在在的合作成果，巩固两国产业互补的产业链分工。那样，任凭少数政客兴风作浪，我们都将稳稳把握发展中美经贸合作的主动权。#中美贸易战新主张##时事满谈#O中美贸易战能否有所缓和？O中美贸易战能否有所缓和？O谈谈你对中美贸易战的看法?,,,,"中美贸易战新主张,时事满谈",1,54,18,2020-12-19 09:45,官方活动Android,,,,,黄V,非会员,0
4582855348853295,JyLrEB995,7443645318,艾瑞悦读,澳洲年度的最终选民调查表明，在中澳外交争端期间，莫里森的支持率下降了4点（下降至62％），而选民的反对率上升了3点（高达28％）。#外交部回应澳大利亚拟向WTO申诉中国##澳大利亚##中美贸易战新主张##财经##新浪财经#,,,,"外交部回应澳大利亚拟向WTO申诉中国,澳大利亚,中美贸易战新主张,财经,新浪财经",0,0,0,2020-12-16 20:22,OPPO Reno,,,,,普通用户,非会员,0
4582332344831973,JyxQ6kh13,2170931937,札乐刺青,【札乐刺青SHOW】边道在四川最后什邡之行结束了！感谢7哥一家的招待，为我在成都生活又多增添了一笔难忘的回忆！感恩这半年来在四川所有的经历！祝所有人平安幸福，边道该回家了🙏🙏#访谈##对话##Q&A##学纹身##成都学纹身##我要学纹身##成都人民公园##人民公园##vlog旅行#￼#采耳#成都生活超话#成都采耳##vlog日常##旅行vlog#￼@札乐刺青工作室#成都生活#成都生活超话#成都#￼@札乐刺青工作室#日常vlog##vlog日常##vlog##纹身工作室##myvlog##纹身师##女纹身师##瑜伽##纹身##vloginnight##抗击疫情##疫情##工作##疫情工作##北京纹身##纹身工作室##北京纹身师##纹身花絮##像电影一样记录生活##纹身买家秀##纹身师日常##工作快乐##感谢一路有你##娱乐精神##SHOW##theshow##匠人##匠人精神##娱乐##工作日常##记录生活##我的vlog生活#VLOG超话#口罩##酒精##健身##疫情期间##工作vlog##vlog健身##健身vlog##疫情时期##疫情在家学会了什么##万众一心抗击疫情##中美大战##中美贸易战新主张##中美疫情#日常vlog超话#vlog营业中##旅行vlog#旅行vlog超话#成都宽窄巷子##成都锦里##成都旅行##NOYATATTOO##生活vlog##我的vlog生活##我的生活vlog##cosplay#cosplay超话#二次元#二次元超话#纹身师日常##纹身工作室日常##纹身花絮##纹身师工作花絮##纹身师花絮##纹身vlog##诺亚刺青##什邡##抗震遗址##地震遗址#L札乐刺青工作室的微博视频,,什邡,札乐刺青工作室,"访谈,对话,Q&A,学纹身,成都学纹身,我要学纹身,成都人民公园,人民公园,vlog旅行,采耳,成都采耳,vlog日常,旅行vlog,成都生活,成都,日常vlog,vlog,纹身工作室,my vlog,纹身师,女纹身师,瑜伽,纹身,vlog in night,抗击疫情,疫情,工作,疫情工作,北京纹身,北京纹身师,纹身花絮,像电影一样记录生活,纹身买家秀,纹身师日常,工作快乐,感谢一路有你,娱乐精神,SHOW,theshow,匠人,匠人精神,娱乐,工作日常,记录生活,我的vlog生活,口罩,酒精,健身,疫情期间,工作vlog,vlog健身,健身vlog,疫情时期,疫情在家学会了什么,万众一心抗击疫情,中美大战,中美贸易战新主张,中美疫情,vlog营业中,成都宽窄巷子,成都锦里,成都旅行,NOYATATTOO,生活vlog,我的生活vlog,cosplay,二次元,纹身工作室日常,纹身师工作花絮,纹身师花絮,纹身vlog,诺亚刺青,什邡,抗震遗址,地震遗址",0,1,6,2020-12-15 09:43,微博视频号,,"http://f.video.weibocdn.com/003Iin4Wgx07IMQXZCnl0104120hQ6xf0E070.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1763211807&ssig=B9XlB3x6dK&KID=unistore,video",,,普通用户,非会员,0
4582097208218667,JyrIQyu39,1816039473,JAMIEyCHANG,#中美贸易战新主张#新#拜登##拜登将提名美籍华人任贸易代表##戴琪#,,,,"中美贸易战新主张,拜登,拜登将提名美籍华人任贸易代表,戴琪",1,1,0,2020-12-14 18:09,iPhone,https://wx4.sinaimg.cn/large/6c3e9031gy1glnjmlwhpbj20yi0xs10h.jpg,,,,普通用户,非会员,0
4581378114987878,Jy911kVzE,1263406744,司马南,【司马南：骆家辉、洪博培反对“脱钩”，抱怨贸易战】#司马南频道##中美贸易战新主张#值得注意的新动向：洪博培、骆家辉、霍尔顿、斯奈德四位美国前州长强调中美要保持接触，恶化的美中关系对各州都不是好事，这些说显然是针对特朗普去的，更是说给拜登新政府听的。L司马南的微博视频,,,,"司马南频道,中美贸易战新主张",56,47,265,2020-12-12 18:32,微博视频号,,"http://f.video.weibocdn.com/mAIxrtHClx07IIuBa4cg0104120aEHBy0E040.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1763211969&ssig=X4lG2YPxjw&KID=unistore,video",,,黄V,超级会员,1
