id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4587472740682838,JAHz42RDw,2743570587,佳学基因解码基因检测,特发性震颤（essentialtremor，ET)又称家族性或良性特发性震颤，是神经内科最常见的运动障碍性疾病。基因解码专家研究了大量特发性震颤案例并表明，该病是由复杂的基因因素引起，呈现家族聚集性且易于帕金森等疾病混淆，因此通过致病基因鉴定可以明确导致疾病发生的根本原因，明确疾病诊断，对症治疗，避免误诊。O网页链接佳学基因帮助找到致病基因，防止后代遗传！#北京·佳学基因解码基因检测基因矫正[地点]##戴佩妮表情包##bazaarv情书##高校捞两千多斤鱼##范丞丞蔡徐坤##身份证新规##反击贸易战##南方有乔木#,,,,"戴佩妮表情包,bazaarv情书,高校捞两千多斤鱼,范丞丞 蔡徐坤,身份证新规,反击贸易战,南方有乔木",0,0,0,2020-12-29 14:09,微博 weibo.com,https://wx1.sinaimg.cn/large/a387909bly1gm4p2td2a8j20go0b4jsh.jpg,,,,蓝V,会员,8
4585319178974151,JzNxzBEAn,2743570587,佳学基因解码基因检测,精神分裂症(schizophrenia)是由基因和外界因素共同影响的常见精神类基因病，发病率很高，国内统计可高达6.55%，是精神疾病中患病率最高的一种。多起病于青壮年，常有感知，思维，情感，行为等方面的障碍和精神活动的不协调，病程迁延，常可发展为精神活动衰退等特征。可通过致病基因鉴定明确致病基因，从而防止后代遗传。O网页链接佳学基因帮助找到致病基因，防止后代遗传！#北京·佳学基因解码基因检测基因矫正[地点]##戴佩妮表情包##bazaarv情书##高校捞两千多斤鱼##范丞丞蔡徐坤##身份证新规##反击贸易战##南方有乔木#,,,,"戴佩妮表情包,bazaarv情书,高校捞两千多斤鱼,范丞丞 蔡徐坤,身份证新规,反击贸易战,南方有乔木",0,0,0,2020-12-23 15:32,微博 weibo.com,https://wx4.sinaimg.cn/large/a387909bly1glxtqteztcj20go0b4jsh.jpg,,,,蓝V,会员,8
4583937114376133,JzdArimqN,7229688109,六月韭-,#财经##特朗普#特朗普为所欲为，美国政府不断打压中企，我商务部出手，反制大幕开启了。#反击贸易战#12月18日，商务部发布公告，将从2020年12月20日起，对原产于美国、韩国和欧盟的进口三元乙丙橡胶征收反倾销税，征收期限为5年。#股帝心语#大快人心，加油！,,,,"财经,特朗普,反击贸易战,股帝心语",7,34,26,2020-12-19 20:00,微博 weibo.com,,,,,黄V,非会员,0
4583582435642087,Jz4mnnFLp,5869806660,用户hanqin8878,OD女郎私黛丰胸（听说过男人私护吗？）#健康##妇科#私护超话#反击贸易战#,,盐城,,"健康,妇科,反击贸易战",0,1,0,2020-12-18 20:31,iPhone客户端,,,,,普通用户,非会员,0
4583122240537340,JySo82fMM,2743570587,佳学基因解码基因检测,亨廷顿氏舞蹈症（Huntington’sdisease，HD）是一种基因病，为常染色体显性遗传，又称慢性进行性舞蹈病、大舞蹈病。患者一般在40岁左右发病，也有提早至20岁或晚至60岁发病。目前，可以通过佳学基因致病基因鉴定进行确诊，也为后代的优生优育提供了遗传咨询依据。O网页链接佳学基因帮助找到致病基因，防止后代遗传！#北京·佳学基因解码基因检测基因矫正[地点]##戴佩妮表情包##bazaarv情书##高校捞两千多斤鱼##范丞丞蔡徐坤##身份证新规##反击贸易战##南方有乔木#,,,,"戴佩妮表情包,bazaarv情书,高校捞两千多斤鱼,范丞丞 蔡徐坤,身份证新规,反击贸易战,南方有乔木",0,0,0,2020-12-17 14:02,微博 weibo.com,https://wx4.sinaimg.cn/large/a387909bly1glqtfg4uz4j20go0b4jsh.jpg,,,,蓝V,会员,8
4580632963587179,JxPDaf3bJ,2743570587,佳学基因解码基因检测,软骨发育不全（achondroplasia）又称胎儿型软骨营养障碍、软骨营养障碍性侏儒等，是一种由于软骨内骨化缺陷的先天性发育异常，主要影响长骨，临床表现为特殊类型的侏儒——短肢型侏儒，智力及体力发育良好。基因解码研究大量案例表明，该病由基因突变导致，通过致病基因鉴定基因解码可明确疾病分型，制定个性化治疗方案，也为后代的优生优育提供了遗传咨询依据。O网页链接佳学基因帮助找到致病基因，防止后代遗传！#北京·佳学基因解码基因检测基因矫正[地点]##戴佩妮表情包##bazaarv情书##高校捞两千多斤鱼##范丞丞蔡徐坤##身份证新规##反击贸易战##南方有乔木#,,,,"戴佩妮表情包,bazaarv情书,高校捞两千多斤鱼,范丞丞 蔡徐坤,身份证新规,反击贸易战,南方有乔木",0,0,0,2020-12-10 17:11,微博 weibo.com,https://wx2.sinaimg.cn/large/a387909bly1glivjgddjkj20go0b4jsh.jpg,,,,蓝V,会员,8
4578496318278056,JwW2XyJv2,7305859874,Lorraine_521,"贸易战#反击贸易战#，澳龙#肖战澳龙你值得拥有#出口转内销，瞬间吃到了史上最实惠的澳洲大龙虾。常备吃海鲜工具🧰想吃什么都能在家自制😋虾黄蒸鸡蛋，俩小孩一人一碗。二大人分一只大龙虾只吃了一半。🦞龙虾太大，下回可以买个小只的。红酒开了瓶奔富#奔富蔻兰山,分享不平凡#葛兰许级别的传奇法和白酒配的是ClareVally的雷司令。#澳洲##海鲜#",,澳大利亚·阿德莱德,,"反击贸易战,肖战 澳龙你值得拥有,奔富蔻兰山,分享不平凡,澳洲,海鲜",0,0,1,2020-12-04 19:40,iPhone XS Max,"https://wx1.sinaimg.cn/large/007YqDTAgy1glc22q8mjmj31ez2iohdt.jpg,https://wx1.sinaimg.cn/large/007YqDTAgy1glc1r62owgj32c0340kjl.jpg,https://wx2.sinaimg.cn/large/007YqDTAgy1glc1rbzo3uj32c0340b2a.jpg,https://wx2.sinaimg.cn/large/007YqDTAgy1glc1reg013j31bf0u07l9.jpg,https://wx2.sinaimg.cn/large/007YqDTAgy1glc1rh5b5ij32xn2c0kjl.jpg,https://wx1.sinaimg.cn/large/007YqDTAgy1glc1rkt1pgj32jj1t8b29.jpg,https://wx2.sinaimg.cn/large/007YqDTAgy1glc1rogxc8j334029jhdt.jpg,https://wx2.sinaimg.cn/large/007YqDTAgy1glc1rsv9uaj33402c0e81.jpg,https://wx4.sinaimg.cn/large/007YqDTAgy1glc1rz5on8j33402c0kjm.jpg",,,,普通用户,非会员,0
4578371868829697,JwSOeB30t,2743570587,佳学基因解码基因检测,生长激素缺乏症（growthhormonedeficiency，GHD），又称垂体性侏儒症，是儿科临床常见的内分泌疾病之一，该病是由于垂体前叶分泌的生长激素不足而导致儿童生长发育障碍。目前可以通过致病基因鉴定明确致病基因，制定个性化治疗方案，避免误诊。O网页链接佳学基因帮助找到致病基因，防止后代遗传！#北京·佳学基因解码基因检测基因矫正[地点]##戴佩妮表情包##bazaarv情书##高校捞两千多斤鱼##范丞丞蔡徐坤##身份证新规##反击贸易战##南方有乔木#,,,,"戴佩妮表情包,bazaarv情书,高校捞两千多斤鱼,范丞丞 蔡徐坤,身份证新规,反击贸易战,南方有乔木",0,0,0,2020-12-04 11:26,微博 weibo.com,https://wx1.sinaimg.cn/large/a387909bly1glbnuvihu8j20go0b4jsh.jpg,,,,蓝V,会员,8
4577013862767026,JwjtUbBPs,2743570587,佳学基因解码基因检测,苯丙酮酸尿症（俗称苯丙酮尿症）是英文疾病名称Phenylketonuria的中文翻译，又叫苯丙氨酸羟化酶缺乏症，福林病，简称PKU。是一种遗传性疾病，血液中苯丙氨酸的含量增加。苯丙氨酸是通过饮食获得的一种蛋白质组成成份，是氨基酸的一种。它存在于所有的蛋白质和一些人工甜味剂中。如果苯丙酮酸尿症患者没有得及时治疗，苯丙氨酸会在身体积累，导致智力残疾和其他严重的健康问题。O网页链接佳学基因帮助找到致病基因，防止后代遗传！#北京·佳学基因解码基因检测基因矫正[地点]##戴佩妮表情包##bazaarv情书##高校捞两千多斤鱼##范丞丞蔡徐坤##身份证新规##反击贸易战##南方有乔木#,,,,"戴佩妮表情包,bazaarv情书,高校捞两千多斤鱼,范丞丞 蔡徐坤,身份证新规,反击贸易战,南方有乔木",0,0,0,2020-11-30 17:30,微博 weibo.com,https://wx3.sinaimg.cn/large/a387909bly1gl7bw4o7v4j20go0b4jsh.jpg,,,,蓝V,会员,8
4576120270487753,JvWeD22SZ,1222382122,相三三三,中国商务部11月27日宣布，对澳大利亚葡萄酒以保证金形式，实施临时反倾销措施，各公司保证金比率为107.1%至212.1%，从11月28日起生效。#新中国成立70周年##澳大利亚##反击贸易战#,,,,"新中国成立70周年,澳大利亚,反击贸易战",0,0,0,2020-11-28 06:19,360安全浏览器,,,,,普通用户,非会员,0
