id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5117694772775685,P7qjXbE57,5308667682,飞雪何须惧风寒,#发展中国家##中美关系##反击贸易战##中美贸易战新主张##中美科技战##市场#中美究竟是修昔底德陷阱还是英国困境？中美之间的争端不是简单的第一和第二之间的关系。也就是说不是修昔底德陷阱关系。而是一个新生的内生型，并且是输出正的外部性近代化的国家——中国，与传统的输出负外部性的近代化国家——美国争夺世界经济领导权的斗争。而美国之所以在竞争中显得乏力，正是因为这种传统的输出负外部性的方式所形成的市场规模已经无法再应用更多的新技术。提供更大的生产力。其实同样的困境也出现在英国身上，英国实际上对内生型发展起来的竞争者一直莫可奈何，比如德国，比如前苏联，比如美国。L飞雪何须惧风寒的微博视频,,,,"发展中国家,中美关系,反击贸易战,中美贸易战新主张,中美科技战,市场",0,0,0,2024-12-31 17:22,微博视频号,,"http://f.video.weibocdn.com/o0/BTs0npzYlx08kNbGwuus01041209PEkB0E040.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763142455&ssig=MlYtD5pz5N&KID=unistore,video",,,普通用户,会员,7
5117024328745152,P78SAAH0Q,6256258692,闪电之春,近日，北约一份报告显示，在盟国军工产业所必需的12种关键原材料中，有7种被中国死死控制着，包括铝、锂、钴等。也就是说，这就是中国反制西方的7张王牌，对北约的军事能力起着决定性的制约作用。以镓为例，中国的出口量占全球市场的98%。镓是芯片不可或缺的原材料，一旦少了它，尖端军事技术面临停摆的巨大风险。一年前，中国已对美国禁止出口镓，导致美国军用雷达生产大受影响。如果对所有北约国家禁止出口，后果可想而知。美国也曾发布报告显示，在美国上千种武器系统及两万多个零部件的生产中，竟然有超过80%的部分依赖中国主导的供应链，甚至波及核弹生产计划。外媒分析，中国手中远不止这7张王牌，每张王牌都将对美国及北约国家形成卡脖子式的致命一击。到底是零和博弈？还是互利共赢？北约将不得不面对这一现实而又严峻的选择！#北约##美国##中国##供应链##军事##武器装备##国际##军工##反击贸易战#,,,,"北约,美国,中国,供应链,军事,武器装备,国际,军工,反击贸易战",1,3,30,2024-12-29 20:58,荣耀50 5G,https://wx1.sinaimg.cn/large/006PoCGggy1hx232m6xxej30qo0f0grj.jpg,,,,黄V,会员,7
5115916438471978,P6G3FzxWO,7309403437,市值女魔头全网同名,中美贸易额超过6600亿美元，7万多家在华美企年利润达500亿美元；仅对华出口就支撑美国93万个就业岗位；中国商品丰富了美国消费者的选择，降低了其生活成本；中国投资拉动美国就业，助力当地经济发展；高通和英特尔中国市场营收分别占其全球的2/3和1/4，苹果200家主要供应商中80%在中国生产，特斯拉一家企业去年就占了中国新能源汽车出口份额的28.6%……这些都表明，中美合作空间巨大，两国合作可以实现互利共赢。双方应发挥互补优势，拉长合作清单，做大合作蛋糕，让各自的成功成为彼此的机遇而非挑战，让双方的发展成为彼此的助力而非阻力。#中美关系##反击贸易战##投资理财##海外资产配置#,,,,"中美关系,反击贸易战,投资理财,海外资产配置",0,0,1,2024-12-26 19:36,荣耀200 写真相机,"https://wx4.sinaimg.cn/large/007YFvJPgy1hwyjz4gv2uj30p00angnm.jpg,https://wx4.sinaimg.cn/large/007YFvJPgy1hwyjz4u2ikj30p00anac8.jpg,https://wx3.sinaimg.cn/large/007YFvJPgy1hwyjz58k03j30p00anmz6.jpg",,,,黄V,非会员,0
5113750537376613,P5LIhuWZD,1939861572,新疆广播电视台,新疆外贸历史上首次外贸进出口总值突破4000亿元！#新疆##反击贸易战##热点#L新疆广播电视台的微博视频,,,,"新疆,反击贸易战,热点",0,0,0,2024-12-20 20:09,微博视频号,,"http://f.video.weibocdn.com/o0/VnzIANkWlx08kvPBrVPq010412005gl50E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763142455&ssig=PulN%2BvHg6L&KID=unistore,video",,,普通用户,会员,7
5113013412304418,P5sxn9Fu2,5678690954,长安万里行,几年贸易战，搞得美国的底层人民，也是苦不堪言！#微博跨域计划##美国##反击贸易战##中美贸易战新主张#L长安万里行的微博视频,,,,"微博跨域计划,美国,反击贸易战,中美贸易战新主张",1,3,3,2024-12-18 19:20,西安超话,,"http://f.video.weibocdn.com/o0/XHcB2T9plx08ksAs34v601041200KDEz0E010.mp4?label=mp4_720p&template=548x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763142455&ssig=nSTWPrNCmp&KID=unistore,video",,,金V,超级会员,2
5110734834371824,P4vgfilji,2553695304,卢晓周,我们拉拢，团结，统战霉帝资本家，是希望他们能够牵制霉帝政客，为缓和两国关系，避免走向对决贡献力量，但我们发现，这些年几乎没有一个霉帝资本家会这么做，除了说些场面话，什么都没有做，问题就在这里，为什么要缓和关系？他们都是贸易战的获利者，他们只希望贸易战永远打下去。内部的资本家也是这样的，本来给他们牌照，放高利贷，什么缺德钱都让他们赚，就是希望他们能够大干快上解决卡脖子的问题，但是除了华为带领的一帮企业之外，像互联网平台，电商平台，短视频直播带货等等等这些企业根本什么都没有做，除了赚钱，问题就在这里，为什么要做？现在这样的格局让他们躺赢，为什么要改变？为什么要突破卡脖子？订阅过V+和星球的朋友读过我在疫情防控最后阶段的一系列的分析文章，我当时就说过防控会彻底放开，一个根本原因就是防控已经形成了利益集团，这个利益集团利用防控，通过核酸，疫苗，保供赚取了天量财富，所以，他们不会让疫情消失，他们会拼命制造疫情，有钱赚为什么要让疫情消失呢？现在的贸易战，芯片战等等等中美关系问题，也是如此，围绕贸易战，中美双方都已经形成了各自的利益集团，他们就是贸易战的获益者，他们通过中美贸易战获取了天量财富，所以，有什么利用让中美不打贸易战呢？所以，要缓和中美关系，要让中美避免贸易战，乃至其他领域的对决，就不能让中美两边有人利用贸易战谋利，没有人可以通过贸易战赚到钱，自然而然就会鸣金收兵。那如何才能让做到这一点呢？很简单，取消霉帝企业在中国的超国民待遇，对霉帝企业采取对等的打击，霉帝制裁中国多少企业，中国就制裁霉帝多少企业，绝不惯着他们，让他们丧失统战价值。其次，取消对内部企业所有的补贴，把这些补贴给到老百姓，让老百姓用钱去支持那些真正有技术，有创新的企业，让那些只靠政府奶水活着的企业自然死亡。第三，开放，让全世界《除霉帝外》有技术，有竞争力的企业和品牌进来，给到内部企业巨大的压力，绝不能让他们躺赢。#特朗普##反击贸易战##英伟达#,,,,"特朗普,反击贸易战,英伟达",8,7,29,2024-12-12 12:26,Android,,,,,黄V,非会员,0
5110526176400882,P4pPHqRa2,5308667682,飞雪何须惧风寒,#美国##反击贸易战##中美贸易战新主张#近代化之路——如果特朗普实现他的主张，美国会再次伟大吗？按照近代化的发展规律，近代化崛起大国的方向是向生产规模更大，人口更多的地区发展。而美国现在这种增加关税打贸易战小院高强的做法实际上是会是全世界包括美国在内的生产规模出现一定的萎缩产品价格出现一定的上涨。所以就算特朗普实现了他所有的主张，他也无法使得美国恢复二战之后的荣光，因为它的生产规模太小。他所筑起的小院高墙，比如，整个g7加起来的制造业规模比中国制造业还小。所以他不过是实现了一个小圈子而已。就像上个世纪的前苏联，也通过京沪会建立了一个小型的区域的贸易市场。但是那个是生产规模远小于美国经营的所谓世界市场。最终在长期的经济竞赛中前苏联败下阵来。所以如果特朗普真的成功，美国不过是把自己变成了当年的前苏联而已。L飞雪何须惧风寒的微博视频,,,,"美国,反击贸易战,中美贸易战新主张",0,0,6,2024-12-11 22:37,微博视频号,,"http://f.video.weibocdn.com/o0/HxeCgVenlx08khDI0xhm01041207ZBIK0E030.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763142455&ssig=LdS7XJOeue&KID=unistore,video",,,普通用户,会员,7
5109385917893919,P3Wazx7zh,7329881196,real厉害财经,【厉害】35亿美元解锁南美：钱凯港重磅布局，百年战略关键落子面对美国在贸易层面围追堵截我们努力解锁更多战略地图化整为零#钱凯港##反击贸易战#中国超话南美洲超话#港口#Lreal厉害财经的微博视频,,,,"钱凯港,反击贸易战,港口",25,4,80,2024-12-08 19:06,微博视频号,,"http://f.video.weibocdn.com/o0/FpnF0Vv9lx08kcCxPMWs01041208YUxB0E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763142455&ssig=6rSslFI1dy&KID=unistore,video",,,红V,超级会员,1
5105586032869835,P2ljJc2zF,1974576991,环球时报,#美国对俄乌冲突立场发生重大转变#【#特朗普宣布俄乌冲突问题特使人选#曾任白宫要职】当地时间11月27日，美国当选总统特朗普表示，他将选择基思·凯洛格担任俄乌冲突问题特使。退役美国陆军中将凯洛格曾在特朗普2017年至2021年任期内担任白宫国家安全委员会幕僚长，并担任时任副总统彭斯的国家安全顾问。据路透社此前报道，凯洛格曾表示，如果特朗普赢得美国大选，让俄乌迅速坐到谈判桌前至关重要。“我们告诉乌克兰人‘你们必须坐到谈判桌前，否则美国的支持将会枯竭’”，他说，“告诉俄罗斯，必须坐到谈判桌前，不然我们将给乌克兰人他们需要的一切”。路透社分析指出，这一提议将标志美国对俄乌冲突立场发生重大转变，可能将面临其欧洲盟友和特朗普所在共和党内部的反对。据悉，特朗普曾多次表示，如果再次当选美国总统，他可以在24小时内解决俄乌冲突问题。对此，克宫发言人佩斯科夫表示，问题太复杂，不可能那么容易解决。（央视）,,,,"美国对俄乌冲突立场发生重大转变,特朗普宣布俄乌冲突问题特使人选",330,1515,10831,2024-11-28 07:27,微博网页版,https://wx4.sinaimg.cn/large/0029D7FZly1hw1lk6mu5rj60oa0u37wh02.jpg,,,,,非会员,0
5105713980902133,P2oE63MGx,5590694360,Mr陈-0515,贸易战也是战争，也得坐下来谈。谈判是唯一出路。#美国对俄乌冲突立场发生重大转变##特朗普宣布俄乌冲突问题特使人选##反击贸易战##中美间贸易摩擦##中美贸易战新主张##东方财富#财联社盘面直播超话,,,,"美国对俄乌冲突立场发生重大转变,特朗普宣布俄乌冲突问题特使人选,反击贸易战,中美间贸易摩擦,中美贸易战新主张,东方财富",0,0,10831,2024-11-28 15:55,HUAWEI Mate 60,,,5105586032869835,,普通用户,非会员,0
