id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5225220556458822,QaA6jr6ey,1649307431,九度十二分,2025年10月的新一阶段中美贸易战，已经明显呈现中美势均力敌的状态。而2025年4月时，在中美互加100%以上关税后，已是美国先服软。新一轮中美贸易战，前后过程是什么，会有什么可能的发展，这篇文章简单写一写。#中美关系##中美贸易战再次升级#中国超话美国超话发布了头条文章：《2025年9月的新一轮中美贸易战，中国强势反击意味着什么》O2025年9月的新一轮中美贸易战，中国强势反击意味着什么,,,,"中美关系,中美贸易战再次升级",0,0,0,2025-10-24 10:32,微博 weibo.com,,,,,普通用户,会员,6
5222017622348060,Q9eMi9QPW,7842025303,Shopmie,《中美关税战火再升级，外贸企业如何破局求生？》#中美关税战##中美贸易战再次升级##特朗普关税政策##11月1日对中国商品加征100%关税##中美贸易战最新进展#O中美关税战火再升级，外贸企业如何破局求生？,,,,"中美关税战,中美贸易战再次升级,特朗普关税政策,11月1日对中国商品加征100%关税,中美贸易战最新进展",0,0,0,2025-10-15 14:24,微博 weibo.com,,,,,蓝V,非会员,0
5220803684597830,Q8Jckji6y,2170054411,钱说,中美贸易战升级，中国开创稀土长臂管辖震惊特朗普#钱说##中国开启稀土长臂管辖##中美贸易战再次升级#L钱说的微博视频,,,,"钱说,中国开启稀土长臂管辖,中美贸易战再次升级",16,11,105,2025-10-12 06:00,iPhone 16 Pro Max,,"http://f.video.weibocdn.com/o0/LwvIYx4Elx08s6PoMRs401041206uCf90E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763142362&ssig=WWehDEouKU&KID=unistore,video",,,金V,超级会员,2
5164329557821682,PqZvlwOMa,1849867782,Mike外贸说,发布了头条文章：《最新！刚刚，中国商务部再谈“美国对华关税”》#中美间贸易摩擦##中美贸易战再次升级##mike外贸说#外贸超话#给外贸新人##商务部回应中美贸易战是否会升级##外贸出口#O最新！刚刚，中国商务部再谈“美国对华关税”,http://t.cn/A6dFLvwO,,,"中美间贸易摩擦,中美贸易战再次升级,mike外贸说,给外贸新人,商务部回应中美贸易战是否会升级,外贸出口",0,0,0,2025-05-09 09:52,微博 weibo.com,,,,,普通用户,非会员,0
5157249300826048,Po1jA3sTm,5625949091,Andy于是说,周五两市成交额创了去年924行情以来的新低，我之前就一直在说，在中美贸易战没有明确缓和的迹象之前，主力资金都是不愿意多参与的，目前市场的风险也是大于机会的，一定要管住手，观望为主#股票##中美贸易战再次升级##财经资讯#股市超话,,,,"股票,中美贸易战再次升级,财经资讯",0,0,0,2025-04-19 20:58,股市超话,https://wx1.sinaimg.cn/large/0068JUmngy1i0mexpjxryj30m31n047x.jpg,,,,普通用户,非会员,0
5157006768079265,PnV0oxTMJ,2866705161,北宫秋枫,#秋枫随笔##读新闻#贪婪霸凌，甩锅推责，极限施压，一意孤行，推动贸易战不断升级，信口开河，特别不靠谱。指望东大跟你签胯下之约，做你的春秋大梦去吧！#中美贸易战再次升级#（图自《北京日报》客户端）,,,,"秋枫随笔,读新闻,中美贸易战再次升级",2,13,14,2025-04-19 04:54,Xiaomi 15 Pro,https://wx1.sinaimg.cn/large/aade7309ly1i0lmk87i9fj20rx17ndm2.jpg,,,,普通用户,会员,7
5156901734844785,PnSgZkklH,2124826451,叉烧网,发布了头条文章：《涨价一倍！哪些乐器/音频设备是“美国原产”？》这一天天真是精彩，朝夕令改写稿子都没关税升得快...五年前我们分析过《离开美国产品，还能不能做音乐》，幸好这次并不是影响所有美国品牌，涨价只针对“美国原产”(MadeinU.S.A.)。经济和政治分析交给专业的，我们这里只谈论音乐人关心的——哪些美国产品价格翻倍，下面就帮大家整理一下👉贸易战争超话#中美贸易战再次升级#打赢贸易战超话#关税##音频设备推荐#产业分析超话财经商业超话#财经商业观察##行业研究分析报告#音箱超话吉他超话电吉他超话录音设备超话O涨价一倍！哪些乐器/音频设备是“美国原产”？,http://t.cn/A6rsXnL3,,,"中美贸易战再次升级,关税,音频设备推荐,财经商业观察,行业研究分析报告",1,1,1,2025-04-18 21:57,微博 weibo.com,,,,,蓝V,非会员,0
5156472053827107,PnH5Xg3Bx,2363158430,悉尼印象微博,发布了头条文章：《特朗普关税后，美国人已疯！争相下载淘宝“扫货”》#美国对华关税加到245%##中美贸易战再次升级#贸易战争超话#国际#O特朗普关税后，美国人已疯！争相下载淘宝“扫货”,http://t.cn/A6reTzog,,,"美国对华关税加到245%,中美贸易战再次升级,国际",0,0,0,2025-04-17 17:30,微博 weibo.com,,,,,黄V,会员,7
5156136886207695,Pnynmq2U7,7744895145,小拆迷,发布了头条文章：《美国对华关税加征至245%：贸易战升级的深层逻辑与全球影响（二）》#美国滥施关税是在搬起石头砸自己的脚##外交部回应美对华加征245%关税##中美贸易战再次升级#O美国对华关税加征至245%：贸易战升级的深层逻辑与全球影响（二）,http://t.cn/A6rrjhfX,,,"美国滥施关税是在搬起石头砸自己的脚,外交部回应美对华加征245%关税,中美贸易战再次升级",0,1,1,2025-04-16 19:18,微博 weibo.com,,,,,普通用户,非会员,0
5155790210993584,Pnpmd4aty,7785029799,天行两端,波兰球版的贸易战……没啥影响的俄罗斯，跪了的欧洲，对骂的中美。-俄罗斯算是多少也尝到了不入局的滋味,,,,,12,30,503,2025-04-15 20:20,HUAWEI Mate 60 Pro,https://wx2.sinaimg.cn/large/008uRbSLly1i0hrfthwypj30v50lxac2.jpg,,,,,非会员,0
5155899421753638,Pnscm7mcu,7338520418,树上七个猴老师,大毛挺悠闲。#中美贸易战新主张##中美贸易战再次升级##环球见闻##有关中美贸易战的几个误区##驳有关中美贸易战三大谬论##俄罗斯##贸易战#,,,,"中美贸易战新主张,中美贸易战再次升级,环球见闻,有关中美贸易战的几个误区,驳有关中美贸易战三大谬论,俄罗斯,贸易战",0,0,503,2025-04-16 03:34,Redmi K30 5G先锋,,,5155790210993584,,普通用户,非会员,0
5154960161639627,Pn3Lq6SxB,7744895145,小拆迷,发布了头条文章：《以史为鉴可知兴替——深度分析当年美日贸易战》#中美贸易战再次升级#美豁免从中国进口的部分产品关税##美媒称145%关税无异于对华贸易禁运#O以史为鉴可知兴替——深度分析当年美日贸易战,http://t.cn/A6rQAHuH,,,中美贸易战再次升级,1,0,1,2025-04-13 13:22,微博 weibo.com,,,,,普通用户,非会员,0
